route_id,stop_id,neighborhood
01,"[2, 59, 62, 64, 79, 93, 187, 188, 10590]","['Roxbury', 'South End', 'Roxbury', 'Roxbury', 'Fenway', 'Back Bay', 'Fenway', 'Roxbury', 'South End']"
04,"[113, 114, 117, 190, 214, 224, 236, 892, 6564, 11599, 11891, 21599, 30249, 31257, 65471]","['West End', 'West End', 'Downtown', 'Downtown', 'South Boston Waterfront', 'Downtown', 'Downtown', 'Downtown', 'Downtown', 'South Boston Waterfront', 'Downtown', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'Downtown']"
07,"[33, 879, 886, 889, 890, 892, 6564, 16535, 16538]","['South Boston Waterfront', 'South Boston', 'South Boston', 'South Boston Waterfront', 'South Boston Waterfront', 'Downtown', 'Downtown', 'Downtown', 'Downtown']"
08,"[64, 111, 121, 123, 134, 142, 899, 1518, 1563, 1779, 1784, 1799, 1804, 5089, 11241, 17861, 17863, 29051]","['Roxbury', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Fenway', 'Fenway', 'Fenway', 'Mission Hill', 'Mission Hill', 'Fenway', 'Longwood', 'South End', 'Dorchester', 'Fenway', 'Roxbury', 'Dorchester']"
09,"[13, 21, 25, 33, 41, 45, 148, 150, 151, 175, 886, 899, 1804, 11388, 11780, 11802, 17861, 36541, 41391]","['South Boston', 'South Boston', 'South Boston', 'South Boston Waterfront', 'South Boston', 'South Boston', 'South End', 'South Boston', 'South Boston', 'Back Bay', 'South Boston', 'Fenway', 'Longwood', 'Back Bay', 'Longwood', 'Longwood', 'Fenway', 'South End', 'Fenway']"
10,"[8, 13, 20, 25, 33, 41, 45, 175, 176, 178, 395, 407, 412, 1565, 5089, 11241, 11384, 13321, 29051, 40001]","['Roxbury', 'South Boston', 'South Boston', 'South Boston', 'South Boston Waterfront', 'South Boston', 'South Boston', 'Back Bay', 'Back Bay', 'Back Bay', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'South End', 'Dorchester', 'South End', 'Roxbury', 'Dorchester', 'Roxbury']"
101,"[29001, 29012]","['Charlestown', 'Charlestown']"
104,"[29001, 29007]","['Charlestown', 'Charlestown']"
105,"[29001, 29002]","['Charlestown', 'Charlestown']"
109,"[29001, 29008]","['Charlestown', 'Charlestown']"
11,"[33, 150, 151, 258, 268, 275, 286, 6564, 6565, 15095, 16538, 30294]","['South Boston Waterfront', 'South Boston', 'South Boston', 'South Boston', 'South Boston', 'South Boston', 'South Boston', 'Downtown', 'Chinatown', 'South End', 'Downtown', 'South Boston']"
111,"[2829, 2832, 8309]","['West End', 'North End', 'Downtown']"
112,[5666],['East Boston']
114,"[5736, 5740, 5743]","['East Boston', 'East Boston', 'East Boston']"
116,"[5736, 5740, 5743]","['East Boston', 'East Boston', 'East Boston']"
117,"[5736, 5740, 5743, 7094, 8309]","['East Boston', 'East Boston', 'East Boston', 'East Boston', 'Downtown']"
120,"[5666, 5740, 5854, 5862, 5867, 5879, 5880, 57400]","['East Boston', 'East Boston', 'East Boston', 'East Boston', 'East Boston', 'East Boston', 'East Boston', 'East Boston']"
121,"[5450, 5666, 5736, 5740, 5743, 5907]","['East Boston', 'East Boston', 'East Boston', 'East Boston', 'East Boston', 'East Boston']"
14,"[383, 386, 390, 407, 412, 415, 797, 1761, 6433, 6460, 10424, 11531, 26500, 64000]","['Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roslindale', 'Mission Hill', 'Roslindale', 'Roslindale', 'Roslindale', 'Jamaica Plain', 'Hyde Park', 'Roxbury']"
15,"[322, 323, 334, 1259, 1468, 1475, 1480, 1486, 1497, 1508, 1515, 11257, 15100, 17861, 17863, 21148, 64000]","['Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Dorchester', 'Dorchester', 'Roxbury', 'Dorchester', 'Fenway', 'Roxbury', 'Roxbury', 'Roxbury']"
16,"[13, 20, 25, 33, 111, 121, 142, 875, 1480, 1565, 1587, 2910, 2913, 2919, 2922, 2925, 2931, 10642, 11241, 29051, 35201]","['South Boston', 'South Boston', 'South Boston', 'South Boston Waterfront', 'Dorchester', 'Dorchester', 'Dorchester', 'Jamaica Plain', 'Dorchester', 'Roxbury', 'Roxbury', 'Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Dorchester', 'Dorchester', 'Jamaica Plain', 'Dorchester', 'Dorchester', 'South Boston']"
17,"[13, 323, 362, 1475, 1480, 1508, 2910, 2935]","['South Boston', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
171,"[13, 64, 7096, 17094, 17095, 27092]","['South Boston', 'Roxbury', 'East Boston', 'East Boston', 'East Boston', 'East Boston']"
18,"[13, 180, 322, 323, 334]","['South Boston', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
19,"[7, 64, 322, 323, 386, 390, 395, 396, 407, 412, 552, 562, 565, 899, 1520, 1779, 1784, 1799, 1804, 3078, 8687, 9441, 11323, 11780, 17862, 21148, 40001, 64000, 64002]","['Roxbury', 'Roxbury', 'Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Dorchester', 'Dorchester', 'Dorchester', 'Fenway', 'Fenway', 'Mission Hill', 'Mission Hill', 'Fenway', 'Longwood', 'Dorchester', 'Dorchester', 'Fenway', 'Roxbury', 'Longwood', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury']"
191,"[5, 55, 117, 185, 325, 334, 533, 536, 537, 571, 574, 588, 591, 1480, 5095, 5098, 64000]","['South End', 'Roxbury', 'Downtown', 'Mattapan', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Mattapan', 'Mattapan', 'Mattapan', 'Dorchester', 'Dorchester', 'South End', 'South End', 'Roxbury']"
192,"[117, 178, 636, 1128, 1317, 1363, 1939, 10000, 10642, 31365, 31391, 36466, 51317, 65741, 71391, 91317]","['Downtown', 'Back Bay', 'Roslindale', 'Jamaica Plain', 'Mission Hill', 'Mission Hill', 'Jamaica Plain', 'Beacon Hill', 'Jamaica Plain', 'Jamaica Plain', 'Fenway', 'Hyde Park', 'Fenway', 'Mission Hill', 'Longwood', 'Fenway']"
193,"[117, 899, 912, 918, 926, 931, 954, 959, 966, 973, 979]","['Downtown', 'Fenway', 'Brighton', 'Brighton', 'Allston', 'Allston', 'Fenway', 'Allston', 'Brighton', 'Brighton', 'Brighton']"
194,"[2844, 2855, 2867, 8309, 12836, 29010, 29011]","['Charlestown', 'Charlestown', 'Charlestown', 'Downtown', 'Charlestown', 'Charlestown', 'Charlestown']"
201,"[323, 3067, 3075, 3078, 8341, 8809, 38813]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
202,"[323, 3087, 8326, 8341, 8687, 8814, 38813]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
21,"[334, 499, 507, 526, 533, 537, 543, 546, 875, 1128, 1317, 1939, 5232, 10642, 11131, 11780, 31365, 65741, 91391]","['Dorchester', 'Dorchester', 'Mattapan', 'Mattapan', 'Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Jamaica Plain', 'Jamaica Plain', 'Mission Hill', 'Jamaica Plain', 'Mattapan', 'Jamaica Plain', 'Jamaica Plain', 'Longwood', 'Jamaica Plain', 'Mission Hill', 'Longwood']"
210,"[323, 3067, 3075, 3087]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester']"
215,"[323, 334]","['Dorchester', 'Dorchester']"
